,Unnamed: 0,FFMC,DMC,DC,ISI,temp,RH,wind,rain,class
0,274,80.8,3.4,24.0,2.8,29.0,75.0,16.0,0.0,1.0
1,70,92.5,121.1,674.4,8.6,18.2,46.0,1.8,0.0,1.0
2,598,91.2,48.3,97.8,12.5,11.7,33.0,4.0,0.0,1.0
3,621,93.8,23.0,42.7,15.7,38.0,35.0,15.0,0.0,1.0
4,501,82.5,6.6,26.1,3.0,30.0,88.0,14.0,0.0,1.0
5,535,90.9,126.5,686.5,7.0,17.7,39.0,2.2,0.0,1.0
6,277,88.7,16.0,50.2,6.9,32.0,51.0,13.0,0.0,1.0
7,572,92.5,122.0,789.7,10.2,15.9,55.0,3.6,0.0,0.0
8,130,47.4,2.9,7.7,0.3,26.0,80.0,16.0,1.8,0.0
9,243,79.9,4.5,16.0,2.5,31.0,55.0,16.0,0.1,0.0
10,457,59.0,4.6,7.8,1.0,30.0,78.0,20.0,0.5,0.0
11,148,83.3,5.8,17.7,3.8,31.0,62.0,15.0,0.0,1.0
12,273,84.9,47.0,200.2,4.4,33.0,82.0,21.0,0.0,1.0
13,295,67.3,3.8,16.5,1.2,24.0,64.0,15.0,0.2,0.0
14,548,85.0,13.0,35.4,4.1,38.0,43.0,13.0,0.5,1.0
15,477,94.6,160.0,567.2,16.7,17.9,48.0,2.7,0.0,0.0
16,286,77.5,7.1,8.8,1.8,32.0,47.0,14.0,0.7,0.0
17,55,92.5,56.4,433.3,7.1,23.2,39.0,5.4,0.0,1.0
18,415,89.6,84.1,714.3,5.7,23.8,35.0,3.6,0.0,1.0
19,86,60.7,5.2,17.0,1.1,30.0,80.0,19.0,0.4,0.0
20,562,92.2,61.3,167.2,13.1,33.0,37.0,16.0,0.0,1.0
21,400,93.6,235.1,723.1,10.1,24.1,50.0,4.0,0.0,0.0
22,115,75.1,7.9,27.7,1.5,31.0,75.0,13.0,0.1,0.0
23,417,84.4,27.2,353.5,6.8,4.8,57.0,8.5,0.0,1.0
24,472,94.8,108.3,647.1,17.0,24.6,22.0,4.5,0.0,1.0
25,497,91.1,141.1,629.1,7.1,19.3,39.0,3.6,0.0,1.0
26,311,80.8,9.8,9.7,3.1,35.0,47.0,18.0,6.0,1.0
27,326,37.3,1.1,7.8,0.0,30.0,89.0,16.0,0.6,0.0
28,394,91.6,138.1,621.7,6.3,18.9,41.0,3.1,0.0,1.0
29,96,84.1,7.3,52.8,2.7,14.7,42.0,2.7,0.0,0.0
30,12,92.1,152.6,658.2,14.3,21.0,32.0,3.1,0.0,0.0
31,131,90.9,126.5,686.5,7.0,21.0,42.0,2.2,0.0,1.0
32,600,91.2,48.3,97.8,12.5,14.6,26.0,9.4,0.0,1.0
33,49,91.5,44.2,90.1,13.2,32.0,48.0,18.0,0.0,1.0
34,401,96.1,181.1,671.2,14.3,21.6,65.0,4.9,0.8,0.0
35,609,94.8,227.0,706.7,12.0,25.0,36.0,4.0,0.0,0.0
36,316,91.1,94.1,232.1,7.1,19.2,38.0,4.5,0.0,0.0
37,526,78.8,4.8,10.2,2.0,36.0,45.0,14.0,0.0,0.0
38,588,81.5,9.1,55.2,2.7,5.8,54.0,5.8,0.0,1.0
39,43,50.0,6.7,17.0,0.5,27.0,84.0,21.0,1.2,0.0
40,231,84.5,19.4,33.1,4.7,31.0,83.0,17.0,0.0,1.0
41,391,91.7,191.4,635.9,7.8,19.9,50.0,4.0,0.0,1.0
42,79,78.1,8.5,14.7,2.4,27.0,59.0,18.0,0.1,0.0
43,597,88.2,9.9,30.5,6.4,33.0,54.0,13.0,0.0,1.0
44,287,93.5,149.3,728.6,8.1,27.8,27.0,3.1,0.0,1.0
45,365,69.6,3.2,30.1,1.5,31.0,71.0,17.0,0.3,0.0
46,150,85.4,18.5,71.5,5.2,33.0,70.0,17.0,0.0,1.0
47,248,90.0,51.3,296.3,8.7,16.6,53.0,5.4,0.0,1.0
48,173,81.4,8.2,47.7,3.3,32.0,62.0,18.0,0.1,1.0
49,263,92.1,99.0,745.3,9.6,12.8,64.0,3.6,0.0,1.0
50,509,84.5,12.5,54.3,4.0,31.0,65.0,14.0,0.0,1.0
51,50,71.4,7.7,7.4,1.5,28.0,51.0,17.0,1.3,0.0
52,389,92.1,178.0,605.3,9.6,23.3,40.0,4.0,0.0,1.0
53,601,82.3,9.4,9.9,3.2,36.0,43.0,15.0,1.9,1.0
54,194,70.0,9.6,79.7,1.4,28.0,78.0,16.0,0.1,0.0
55,358,90.7,194.1,643.0,6.8,16.2,63.0,2.7,0.0,1.0
56,52,95.5,99.9,513.3,13.2,23.3,31.0,4.5,0.0,1.0
57,40,92.3,96.2,450.2,12.1,23.4,31.0,5.4,0.0,0.0
58,494,96.1,181.1,671.2,14.3,27.3,63.0,4.9,6.4,1.0
59,244,93.1,157.3,666.7,13.5,26.8,25.0,3.1,0.0,1.0
60,455,84.9,32.8,664.2,3.0,19.1,32.0,4.0,0.0,1.0
61,164,81.1,8.1,18.7,2.6,33.0,76.0,14.0,0.0,0.0
62,124,63.1,2.6,9.2,1.3,32.0,76.0,20.0,0.7,0.0
63,216,80.1,4.6,18.5,2.7,33.0,78.0,17.0,0.0,0.0
64,240,64.6,4.4,8.2,1.0,32.0,67.0,14.0,4.5,0.0
65,113,92.5,27.2,52.4,11.7,37.0,37.0,13.0,0.0,1.0
66,459,92.1,111.2,654.1,9.6,18.4,45.0,3.6,0.0,1.0
67,288,93.4,17.3,28.3,9.9,13.8,24.0,5.8,0.0,0.0
