,FFMC,DMC,DC,ISI,temp,RH,wind,rain,class
0,90.1,51.2,424.1,6.2,24.6,43.0,1.8,0.0,1.0
1,79.7,4.3,15.2,1.7,24.0,54.0,18.0,0.1,0.0
2,84.9,18.2,55.0,3.0,5.3,70.0,4.5,0.0,1.0
3,79.9,13.8,36.1,2.4,28.0,70.0,15.0,0.0,0.0
4,89.4,23.2,120.9,9.7,35.0,62.0,19.0,0.0,1.0
5,92.1,152.6,658.2,14.3,19.1,53.0,2.7,0.0,1.0
6,93.0,103.8,316.7,10.8,26.4,35.0,2.7,0.0,1.0
7,86.5,15.5,48.6,5.5,32.0,69.0,16.0,0.0,1.0
8,91.9,111.7,770.3,6.5,15.9,53.0,2.2,0.0,1.0
9,91.9,111.7,770.3,6.5,21.1,35.0,2.7,0.0,1.0
10,83.9,8.7,32.1,2.1,8.8,68.0,2.2,0.0,1.0
11,91.4,142.4,601.4,10.6,20.1,39.0,5.4,0.0,1.0
12,92.1,152.6,658.2,14.3,21.0,32.0,3.1,0.0,0.0
13,93.0,18.4,41.5,15.5,39.0,21.0,17.0,0.4,1.0
14,91.0,276.3,825.1,7.1,13.8,77.0,7.6,0.0,1.0
15,87.9,24.9,41.6,3.7,10.9,64.0,3.1,0.0,1.0
16,88.6,91.8,709.9,7.1,12.4,73.0,6.3,0.0,1.0
17,90.2,99.6,631.2,6.3,16.2,59.0,3.1,0.0,1.0
18,88.3,150.3,309.9,6.8,13.4,79.0,3.6,0.0,1.0
19,75.1,4.4,16.2,1.9,5.1,77.0,5.4,0.0,1.0
20,92.5,121.1,674.4,8.6,17.7,25.0,3.1,0.0,1.0
21,92.3,92.1,442.1,9.8,22.8,27.0,4.5,0.0,1.0
22,75.4,2.9,16.3,2.0,28.0,67.0,19.0,0.0,0.0
23,90.7,80.9,368.3,16.8,14.8,78.0,8.0,0.0,0.0
24,83.8,13.5,49.3,4.5,28.0,84.0,18.0,0.0,1.0
25,88.1,27.8,61.1,7.3,34.0,58.0,16.0,0.0,1.0
26,93.2,114.4,560.0,9.5,30.2,22.0,4.9,0.0,0.0
27,91.6,181.3,613.0,7.6,24.3,33.0,3.6,0.0,1.0
28,81.6,56.7,665.6,1.9,27.8,35.0,2.7,0.0,0.0
29,63.5,70.8,665.3,0.8,22.6,38.0,3.6,0.0,1.0
30,96.2,175.5,661.8,16.8,32.6,26.0,3.1,0.0,1.0
31,91.7,191.4,635.9,7.8,26.2,36.0,4.5,0.0,1.0
32,93.6,97.9,542.0,14.4,28.3,32.0,4.0,0.0,1.0
33,75.8,3.6,32.2,2.1,29.0,74.0,19.0,0.1,0.0
34,91.5,130.1,807.1,7.5,12.2,66.0,4.9,0.0,1.0
35,91.2,124.4,795.3,8.5,21.5,28.0,4.5,0.0,1.0
36,84.0,13.8,61.4,4.8,26.0,81.0,19.0,0.0,1.0
37,91.6,104.2,474.9,9.0,22.1,49.0,2.7,0.0,0.0
38,55.7,2.4,8.3,0.8,27.0,75.0,19.0,1.2,0.0
39,92.2,81.8,480.8,11.9,16.4,43.0,4.0,0.0,1.0
40,92.3,96.2,450.2,12.1,23.4,31.0,5.4,0.0,0.0
41,91.6,273.8,819.1,7.7,21.3,44.0,4.5,0.0,1.0
42,89.4,253.6,768.4,9.7,14.2,73.0,2.7,0.0,0.0
43,50.0,6.7,17.0,0.5,27.0,84.0,21.0,1.2,0.0
44,56.9,1.9,8.0,0.7,31.0,78.0,14.0,0.3,0.0
45,94.8,227.0,706.7,12.0,23.3,34.0,3.1,0.0,1.0
46,91.2,94.3,744.4,8.4,22.3,48.0,4.0,0.0,1.0
47,93.7,80.9,685.2,17.9,23.2,26.0,4.9,0.0,1.0
48,92.8,119.0,783.5,7.5,18.9,34.0,7.2,0.0,1.0
49,91.5,44.2,90.1,13.2,32.0,48.0,18.0,0.0,1.0
50,71.4,7.7,7.4,1.5,28.0,51.0,17.0,1.3,0.0
51,90.9,18.9,30.6,8.0,11.6,48.0,5.4,0.0,0.0
52,95.5,99.9,513.3,13.2,23.3,31.0,4.5,0.0,1.0
53,92.1,99.0,745.3,9.6,20.8,35.0,4.9,0.0,1.0
54,84.9,27.5,353.5,3.4,4.2,51.0,4.0,0.0,0.0
55,92.5,56.4,433.3,7.1,23.2,39.0,5.4,0.0,1.0
56,91.0,129.5,692.6,7.0,18.8,40.0,2.2,0.0,1.0
57,57.1,2.5,8.2,0.6,32.0,71.0,12.0,0.7,0.0
58,91.0,166.9,752.6,7.1,25.9,41.0,3.6,0.0,0.0
59,93.9,39.6,80.6,18.5,36.0,29.0,18.0,0.0,1.0
60,83.0,23.3,85.3,2.3,16.7,20.0,3.1,0.0,0.0
61,66.6,6.0,9.3,1.1,33.0,69.0,13.0,0.7,0.0
62,50.4,46.2,706.6,0.4,12.2,78.0,6.3,0.0,0.0
63,92.9,137.0,706.4,9.2,21.5,15.0,0.9,0.0,1.0
64,89.3,16.0,100.7,9.7,37.0,52.0,18.0,0.0,1.0
65,90.3,290.0,855.3,7.4,19.9,44.0,3.1,0.0,1.0
66,86.0,36.9,117.1,5.1,36.0,71.0,15.0,0.0,1.0
67,91.5,130.1,807.1,7.5,20.6,37.0,1.8,0.0,0.0
68,91.0,129.5,692.6,7.0,21.6,33.0,2.2,0.0,1.0
69,85.4,28.5,136.0,4.7,31.0,79.0,15.0,0.0,1.0
70,92.5,121.1,674.4,8.6,18.2,46.0,1.8,0.0,1.0
71,86.9,6.6,18.7,3.2,8.8,35.0,3.1,0.0,1.0
72,91.2,46.1,137.7,11.5,36.0,43.0,16.0,0.0,1.0
73,84.7,9.7,27.3,4.7,34.0,56.0,17.0,0.1,1.0
74,92.1,152.6,658.2,14.3,20.2,47.0,4.0,0.0,1.0
75,82.0,6.0,16.3,2.5,31.0,54.0,11.0,0.0,0.0
76,92.1,152.6,658.2,14.3,23.7,24.0,3.1,0.0,0.0
77,92.4,96.2,739.4,8.6,19.2,24.0,4.9,0.0,1.0
78,77.1,11.3,47.0,2.2,32.0,60.0,18.0,0.3,0.0
79,78.1,8.5,14.7,2.4,27.0,59.0,18.0,0.1,0.0
80,90.8,84.7,376.6,5.6,23.8,51.0,1.8,0.0,0.0
81,84.3,12.5,88.7,4.8,31.0,65.0,18.0,0.0,1.0
82,91.6,104.2,474.9,9.0,24.2,32.0,1.8,0.0,0.0
83,92.5,122.0,789.7,10.2,19.7,39.0,2.7,0.0,0.0
84,95.9,158.0,633.6,11.3,27.5,29.0,4.5,0.0,1.0
85,84.1,4.6,46.7,2.2,5.3,68.0,1.8,0.0,0.0
86,60.7,5.2,17.0,1.1,30.0,80.0,19.0,0.4,0.0
87,92.0,203.2,664.5,8.1,10.4,75.0,0.9,0.0,0.0
88,93.9,135.7,586.7,15.1,23.5,36.0,5.4,0.0,1.0
89,88.2,55.2,732.3,11.6,15.2,64.0,3.1,0.0,1.0
90,90.4,89.5,290.8,6.4,15.4,45.0,2.2,0.0,0.0
91,92.1,152.6,658.2,14.3,20.1,58.0,4.5,0.0,1.0
92,93.1,180.4,430.8,11.0,22.2,48.0,1.3,0.0,0.0
93,89.7,287.2,849.3,6.8,19.4,45.0,3.6,0.0,0.0
94,85.8,48.3,313.4,3.9,18.0,42.0,2.7,0.0,1.0
95,88.6,11.5,33.4,9.1,29.0,49.0,19.0,0.0,1.0
96,84.1,7.3,52.8,2.7,14.7,42.0,2.7,0.0,0.0
97,87.6,52.2,103.8,5.0,11.0,46.0,5.8,0.0,1.0
98,83.9,24.9,86.0,2.7,29.0,41.0,8.0,0.1,1.0
99,93.9,169.7,411.8,12.3,23.4,40.0,6.3,0.0,0.0
100,93.2,114.4,560.0,9.5,30.2,25.0,4.5,0.0,1.0
101,89.3,12.5,41.3,7.8,29.0,57.0,14.0,0.0,1.0
102,91.8,170.9,692.3,13.7,20.6,59.0,0.9,0.0,0.0
103,52.5,8.7,8.7,0.6,28.0,80.0,21.0,16.8,0.0
104,52.9,7.9,38.8,0.4,25.0,88.0,13.0,0.2,0.0
105,84.4,73.4,671.9,3.2,24.2,28.0,3.6,0.0,1.0
106,93.3,49.5,297.7,14.0,28.0,34.0,4.5,0.0,0.0
107,76.6,5.7,10.0,1.7,35.0,63.0,14.0,0.3,0.0
108,93.4,17.3,28.3,9.9,8.9,35.0,8.0,0.0,0.0
109,94.0,47.9,100.7,10.7,17.3,80.0,4.5,0.0,0.0
110,79.2,6.5,16.6,2.1,30.0,73.0,14.0,0.0,0.0
111,93.1,180.4,430.8,11.0,26.9,28.0,5.4,0.0,1.0
112,88.9,21.7,77.0,7.1,35.0,63.0,13.0,0.0,1.0
113,92.5,27.2,52.4,11.7,37.0,37.0,13.0,0.0,1.0
114,91.0,166.9,752.6,7.1,25.9,41.0,3.6,0.0,0.0
115,75.1,7.9,27.7,1.5,31.0,75.0,13.0,0.1,0.0
116,88.9,12.9,14.69,12.5,37.0,37.0,18.0,0.2,1.0
117,84.7,26.7,352.6,4.1,2.2,59.0,4.9,0.0,1.0
118,90.2,96.9,624.2,8.9,14.2,53.0,1.8,0.0,1.0
119,91.2,134.7,817.5,7.2,18.5,30.0,2.7,0.0,0.0
120,91.9,22.3,55.5,10.8,37.0,40.0,13.0,0.0,1.0
121,93.7,231.1,715.1,8.4,25.9,32.0,3.1,0.0,0.0
122,91.6,108.4,764.0,6.2,19.3,44.0,2.2,0.0,0.0
123,90.5,96.7,750.5,11.4,20.4,55.0,4.9,0.0,1.0
124,63.1,2.6,9.2,1.3,32.0,76.0,20.0,0.7,0.0
125,92.4,96.2,739.4,8.6,18.6,24.0,5.8,0.0,0.0
126,88.9,263.1,795.9,5.2,29.3,27.0,3.6,0.0,1.0
127,91.1,94.1,232.1,7.1,19.2,38.0,4.5,0.0,0.0
128,61.3,11.9,28.1,0.6,26.0,49.0,6.0,2.0,0.0
129,83.1,7.9,34.5,3.5,30.0,80.0,15.0,0.0,1.0
130,47.4,2.9,7.7,0.3,26.0,80.0,16.0,1.8,0.0
131,90.9,126.5,686.5,7.0,21.0,42.0,2.2,0.0,1.0
132,92.1,99.0,745.3,9.6,10.1,75.0,3.6,0.0,0.0
133,87.0,10.9,37.0,5.6,32.0,63.0,14.0,0.0,1.0
134,64.5,3.3,9.1,1.0,34.0,71.0,14.0,6.5,0.0
135,92.2,102.3,751.5,8.4,21.2,32.0,2.2,0.0,0.0
136,37.9,0.9,8.2,0.1,29.0,86.0,16.0,0.0,0.0
137,91.0,129.5,692.6,7.0,21.7,38.0,2.2,0.0,1.0
138,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0.0,1.0
139,94.2,122.3,589.9,12.9,15.4,66.0,4.0,0.0,1.0
140,66.1,4.0,8.4,1.0,30.0,58.0,12.0,4.1,0.0
141,77.8,10.6,41.4,2.4,31.0,50.0,19.0,0.6,0.0
142,58.5,1.9,8.4,1.1,30.0,77.0,21.0,1.8,0.0
143,87.8,16.5,34.5,7.0,36.0,62.0,16.0,0.0,1.0
144,88.1,12.0,52.8,7.7,35.0,59.0,17.0,0.0,1.0
145,86.0,12.8,25.6,5.4,34.0,70.0,16.0,0.0,1.0
146,87.6,52.2,103.8,5.0,11.0,46.0,5.8,0.0,1.0
147,92.9,133.3,699.6,9.2,19.4,19.0,1.3,0.0,1.0
148,83.3,5.8,17.7,3.8,31.0,62.0,15.0,0.0,1.0
149,90.2,99.6,631.2,6.3,19.2,44.0,2.7,0.0,1.0
150,85.4,18.5,71.5,5.2,33.0,70.0,17.0,0.0,1.0
151,91.8,175.1,700.7,13.8,26.8,38.0,6.3,0.0,1.0
152,88.3,25.9,130.6,8.8,35.0,68.0,19.0,0.0,1.0
153,92.2,91.6,503.6,9.6,20.7,70.0,2.2,0.0,1.0
154,47.4,1.1,7.0,0.4,22.0,76.0,26.0,8.3,0.0
155,94.2,22.5,46.3,16.6,40.0,31.0,15.0,0.0,1.0
